[10-Jan-2023 10:02:08 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[10-Jan-2023 10:02:10 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[10-Jan-2023 10:02:10 Asia/Kolkata] PHP Notice:  Undefined index: to in /var/www/html/erpm/View/calcRange.php on line 42
[10-Jan-2023 10:02:11 Asia/Kolkata] PHP Notice:  Object of class mysqli_result could not be converted to int in /var/www/html/erpm/View/calcRange.php on line 412
[10-Jan-2023 10:02:11 Asia/Kolkata] PHP Notice:  Undefined index: 2023-01-09 in /var/www/html/erpm/View/calcRange.php on line 583
[10-Jan-2023 10:02:11 Asia/Kolkata] PHP Notice:  Undefined index: 2023-01-09 in /var/www/html/erpm/View/calcRange.php on line 932
[10-Jan-2023 10:02:11 Asia/Kolkata] PHP Notice:  Undefined index: 2023-01-09 in /var/www/html/erpm/View/calcRange.php on line 1225
[10-Jan-2023 10:02:11 Asia/Kolkata] PHP Notice:  Array to string conversion in /var/www/html/erpm/View/calcRange.php on line 1559
[10-Jan-2023 10:02:11 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[10-Jan-2023 10:02:37 Asia/Kolkata] PHP Deprecated:  Array and string offset access syntax with curly braces is deprecated in /var/www/html/erpm/AppData/lib/PHPExcel/Shared/String.php on line 529
[10-Jan-2023 10:02:37 Asia/Kolkata] PHP Deprecated:  Array and string offset access syntax with curly braces is deprecated in /var/www/html/erpm/AppData/lib/PHPExcel/Shared/String.php on line 530
[10-Jan-2023 10:02:37 Asia/Kolkata] PHP Deprecated:  Array and string offset access syntax with curly braces is deprecated in /var/www/html/erpm/AppData/lib/PHPExcel/Shared/String.php on line 536
[10-Jan-2023 10:02:37 Asia/Kolkata] PHP Deprecated:  Array and string offset access syntax with curly braces is deprecated in /var/www/html/erpm/AppData/lib/PHPExcel/Shared/String.php on line 536
