[02-Jan-2023 12:00:07 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 42
[02-Jan-2023 12:00:07 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 44
[02-Jan-2023 12:00:07 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 44
[02-Jan-2023 12:00:07 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 42
[02-Jan-2023 12:00:07 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 42
[02-Jan-2023 12:00:07 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 44
[02-Jan-2023 12:00:07 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 44
[02-Jan-2023 12:00:07 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 42
[02-Jan-2023 12:00:07 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 42
[02-Jan-2023 12:00:07 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 44
[02-Jan-2023 12:00:07 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 44
[02-Jan-2023 12:00:07 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 42
[02-Jan-2023 12:00:07 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 42
[02-Jan-2023 12:00:07 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 44
[02-Jan-2023 12:00:07 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 44
