[02-Jan-2023 15:25:27 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:25:27 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:25:27 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:25:27 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:25:27 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:25:27 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:25:27 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:25:27 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:25:27 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:25:27 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:25:27 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:25:27 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:25:27 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:25:27 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:25:27 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:25:27 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 43
[02-Jan-2023 15:25:27 Asia/Kolkata] PHP Notice:  Undefined variable: row in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
[02-Jan-2023 15:25:27 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/Controller/get_site_master_controller.php on line 45
